"STATION","NAME","DATE","TMAX","TMIN"
"SWE00138886","STOCKHOLM A, SW","2018-01-01","41","35"
"SWE00138886","STOCKHOLM A, SW","2018-01-02","41","35"
"SWE00138886","STOCKHOLM A, SW","2018-01-03","39","36"
"SWE00138886","STOCKHOLM A, SW","2018-01-04","39","36"
"SWE00138886","STOCKHOLM A, SW","2018-01-05","37","32"
"SWE00138886","STOCKHOLM A, SW","2018-01-06","32","24"
"SWE00138886","STOCKHOLM A, SW","2018-01-07","33","23"
"SWE00138886","STOCKHOLM A, SW","2018-01-08","35","29"
"SWE00138886","STOCKHOLM A, SW","2018-01-09","33","29"
"SWE00138886","STOCKHOLM A, SW","2018-01-10","30","22"
"SWE00138886","STOCKHOLM A, SW","2018-01-11","34","30"
"SWE00138886","STOCKHOLM A, SW","2018-01-12","35","32"
"SWE00138886","STOCKHOLM A, SW","2018-01-13","33","32"
"SWE00138886","STOCKHOLM A, SW","2018-01-14","35","32"
"SWE00138886","STOCKHOLM A, SW","2018-01-15","32","30"
"SWE00138886","STOCKHOLM A, SW","2018-01-16","35","31"
"SWE00138886","STOCKHOLM A, SW","2018-01-17","33","28"
"SWE00138886","STOCKHOLM A, SW","2018-01-18","32","27"
"SWE00138886","STOCKHOLM A, SW","2018-01-19","31","26"
"SWE00138886","STOCKHOLM A, SW","2018-01-20","34","28"
"SWE00138886","STOCKHOLM A, SW","2018-01-21","29","18"
"SWE00138886","STOCKHOLM A, SW","2018-01-22","26","19"
"SWE00138886","STOCKHOLM A, SW","2018-01-23","31","23"
"SWE00138886","STOCKHOLM A, SW","2018-01-24","42","31"
"SWE00138886","STOCKHOLM A, SW","2018-01-25","45","42"
"SWE00138886","STOCKHOLM A, SW","2018-01-26","43","37"
"SWE00138886","STOCKHOLM A, SW","2018-01-27","40","31"
"SWE00138886","STOCKHOLM A, SW","2018-01-28","38","30"
"SWE00138886","STOCKHOLM A, SW","2018-01-29","36","33"
"SWE00138886","STOCKHOLM A, SW","2018-01-30","33","29"
"SWE00138886","STOCKHOLM A, SW","2018-01-31","37","28"
"SWE00138886","STOCKHOLM A, SW","2018-02-01","38","33"
"SWE00138886","STOCKHOLM A, SW","2018-02-02","34","28"
"SWE00138886","STOCKHOLM A, SW","2018-02-03","29","27"
"SWE00138886","STOCKHOLM A, SW","2018-02-04","29","21"
"SWE00138886","STOCKHOLM A, SW","2018-02-05","26","20"
"SWE00138886","STOCKHOLM A, SW","2018-02-06","25","15"
"SWE00138886","STOCKHOLM A, SW","2018-02-07","27","17"
"SWE00138886","STOCKHOLM A, SW","2018-02-08","33","24"
"SWE00138886","STOCKHOLM A, SW","2018-02-09","37","28"
"SWE00138886","STOCKHOLM A, SW","2018-02-10","33","26"
"SWE00138886","STOCKHOLM A, SW","2018-02-11","31","27"
"SWE00138886","STOCKHOLM A, SW","2018-02-12","38","28"
"SWE00138886","STOCKHOLM A, SW","2018-02-13","37","32"
"SWE00138886","STOCKHOLM A, SW","2018-02-14","37","30"
"SWE00138886","STOCKHOLM A, SW","2018-02-15","37","31"
"SWE00138886","STOCKHOLM A, SW","2018-02-16","34","31"
"SWE00138886","STOCKHOLM A, SW","2018-02-17","33","29"
"SWE00138886","STOCKHOLM A, SW","2018-02-18","32","30"
"SWE00138886","STOCKHOLM A, SW","2018-02-19","31","24"
"SWE00138886","STOCKHOLM A, SW","2018-02-20","26","22"
"SWE00138886","STOCKHOLM A, SW","2018-02-21","26","19"
"SWE00138886","STOCKHOLM A, SW","2018-02-22","29","19"
"SWE00138886","STOCKHOLM A, SW","2018-02-23","28","21"
"SWE00138886","STOCKHOLM A, SW","2018-02-24","23","13"
"SWE00138886","STOCKHOLM A, SW","2018-02-25","25","11"
"SWE00138886","STOCKHOLM A, SW","2018-02-26","27","18"
"SWE00138886","STOCKHOLM A, SW","2018-02-27","21","8"
"SWE00138886","STOCKHOLM A, SW","2018-02-28","16","7"
"SWE00138886","STOCKHOLM A, SW","2018-03-01","22","7"
"SWE00138886","STOCKHOLM A, SW","2018-03-02","26","14"
"SWE00138886","STOCKHOLM A, SW","2018-03-03","27","10"
"SWE00138886","STOCKHOLM A, SW","2018-03-04","27","17"
"SWE00138886","STOCKHOLM A, SW","2018-03-05","29","20"
"SWE00138886","STOCKHOLM A, SW","2018-03-06","32","27"
"SWE00138886","STOCKHOLM A, SW","2018-03-07","34","28"
"SWE00138886","STOCKHOLM A, SW","2018-03-08","32","27"
"SWE00138886","STOCKHOLM A, SW","2018-03-09","35","32"
"SWE00138886","STOCKHOLM A, SW","2018-03-10","36","27"
"SWE00138886","STOCKHOLM A, SW","2018-03-11","33","28"
"SWE00138886","STOCKHOLM A, SW","2018-03-12","37","31"
"SWE00138886","STOCKHOLM A, SW","2018-03-13","37","31"
"SWE00138886","STOCKHOLM A, SW","2018-03-14","31","26"
"SWE00138886","STOCKHOLM A, SW","2018-03-15","30","17"
"SWE00138886","STOCKHOLM A, SW","2018-03-16","29","14"
"SWE00138886","STOCKHOLM A, SW","2018-03-17","30","15"
"SWE00138886","STOCKHOLM A, SW","2018-03-18","37","18"
"SWE00138886","STOCKHOLM A, SW","2018-03-19","38","29"
"SWE00138886","STOCKHOLM A, SW","2018-03-20","33","27"
"SWE00138886","STOCKHOLM A, SW","2018-03-21","43","25"
"SWE00138886","STOCKHOLM A, SW","2018-03-22","42","30"
"SWE00138886","STOCKHOLM A, SW","2018-03-23","42","32"
"SWE00138886","STOCKHOLM A, SW","2018-03-24","40","31"
"SWE00138886","STOCKHOLM A, SW","2018-03-25","48","37"
"SWE00138886","STOCKHOLM A, SW","2018-03-26","43","26"
"SWE00138886","STOCKHOLM A, SW","2018-03-27","34","21"
"SWE00138886","STOCKHOLM A, SW","2018-03-28","38","23"
"SWE00138886","STOCKHOLM A, SW","2018-03-29","37","24"
"SWE00138886","STOCKHOLM A, SW","2018-03-30","38","25"
"SWE00138886","STOCKHOLM A, SW","2018-03-31","40","24"
"SWE00138886","STOCKHOLM A, SW","2018-04-01","34","27"
"SWE00138886","STOCKHOLM A, SW","2018-04-02","41","30"
"SWE00138886","STOCKHOLM A, SW","2018-04-03","45","28"
"SWE00138886","STOCKHOLM A, SW","2018-04-04","42","33"
"SWE00138886","STOCKHOLM A, SW","2018-04-05","44","37"
"SWE00138886","STOCKHOLM A, SW","2018-04-06","44","33"
